word,sent
ter macaquinhos no sótão,-1.0
ter mais olhos que barriga,
ter mau perder,-1.0
ter memória curta,-1.0
ter na mão,1.0
ter o nariz empinado,-1.0
ter o pavio curto,-1.0
ter o rei na barriga,-1.0
ter os dias contados,-1.0
ter os pés assentes no chão,1.0
ter os pés bem assentes na terra,1.0
ter sentido de justiça,-1.0
ter sentido de oportunidade,-1.0
ter sentido de responsabilidade,-1.0
ter um aperto no coração,-1.0
ter uma grande cara de pau,-1.0
ter uma grande lata,-1.0
tirar a água do capote,-1.0
tirar nabos da púcara,-1.0
tirar o cavalinho da chuva,-1.0
tirar o cavalo da chuva,-1.0
tirar partido da situação,-1.0
tirar proveito eleitoral,-1.0
tomar conta do jogo,1.0
tomar partido de,0.0
tomar um banho de água fria,-1.0
torcer o nariz,-1.0
torcer por,0.0
trazer água no bico,-1.0
trazer nas palminhas das mãos,-1.0
trazer o diabo no corpo,-1.0
trazer o diabo no ventre,-1.0
trazer o rei na barriga,-1.0
trocar alhos por bogalhos,-1.0
trocar os pés pelas mãos,-1.0
trocar-se todo,-1.0
truque de magia,-1.0
velho e relho,-1.0
vender banha da cobra,-1.0
vender gato por lebre,-1.0
ver a luz ao fundo do túnel,1.0
ver a vida a andar para trás,-1.0
ver a vidinha a andar para trás,-1.0
ver com olhos de ver,1.0
violência doméstica,-1.0
virar a cabeça a,-1.0
virar a casaca,-1.0
virar as costas a,-1.0
virar o bico ao prego,-1.0
voltar à cepa torta,-1.0
voltar as costas a,-1.0
voltar com a palavra atrás,-1.0
votar contra,0.0
