word,sent
banhado,0.0
banido,-1.0
banir,1.0
banzado,-1.0
barafustar,0.0
baralhado,-1.0
baralhar-se,-1.0
baralhar,0.0
barateiro,0.0
barato,-1.0
barbado,0.0
barbaridade,-1.0
bárbaro,-1.0
barbeado,0.0
barbilongo,0.0
barbudo,0.0
barrado,-1.0
barraqueiro,-1.0
barrigana,-1.0
barrigudo,-1.0
barroco,-1.0
barulhento,-1.0
baselga,-1.0
básico,-1.0
bastardo,-1.0
basto,0.0
batalhador,1.0
batalhante,1.0
batalhar,1.0
batateiro,0.0
batatudo,-1.0
bater,1.0
batido,-1.0
batota,-1.0
batoteiro,-1.0
batotice,-1.0
bazófia,-1.0
bazófio,-1.0
beatice,-1.0
beato,-1.0
bêbado,-1.0
bebedeira,-1.0
bêbedo,-1.0
bebedor,-1.0
beberrão,-1.0
bebido,-1.0
bebum,-1.0
beiçudo,-1.0
beijoqueiro,0.0
beleza,1.0
belfo,-1.0
belicismo,-1.0
belicista,-1.0
bélico,-1.0
belicoso,-1.0
belo,1.0
bem-amado,1.0
bem-apessoado,1.0
bem-aventurado,1.0
bem-colocado,1.0
bem-comportado,1.0
bem-criado,1.0
bem-educado,1.0
bem-encarado,1.0
bem-falante,1.0
bem-formado,1.0
bem-humorado,1.0
bem-intencionado,1.0
bem-mandado,0.0
bem-pago,0.0
bem-parecido,1.0
bem-pensante,1.0
bem-posto,1.0
bem-sucedido,1.0
bem-vindo,1.0
bendito,1.0
beneditino,0.0
beneficiado,0.0
benéfico,1.0
benemerência,1.0
benemérito,1.0
benevolência,1.0
benevolente,1.0
benévolo,1.0
benêvolo,1.0
benfazejo,1.0
benfeitor,1.0
benfeitoria,1.0
benfiquista,0.0
benignidade,1.0
benigno,1.0
benquisto,1.0
bera,-1.0
besta,-1.0
bestial,0.0
bestialidade,1.0
bestificado,-1.0
bexiguento,-1.0
bibliomania,-1.0
bibliómano,0.0
bígamo,0.0
bilingue,0.0
bilioso,-1.0
biltre,-1.0
bimbo,-1.0
biqueiro,-1.0
bira,-1.0
birra,-1.0
birrento,-1.0
biruta,-1.0
bisbilhotar,-1.0
bisbilhoteiro,-1.0
bisbilhotice,-1.0
bisonho,-1.0
bissexual,0.0
bizarria,-1.0
bizarro,-1.0
blasfemador,-1.0
blasfémia,-1.0
blasfemo,-1.0
blindado,0.0
bloqueado,-1.0
bloquear,-1.0
boateiro,-1.0
bobo,-1.0
boboca,-1.0
boçal,-1.0
bocejar,-1.0
bochechudo,-1.0
bocó,-1.0
boêmio,-1.0
boémio,-1.0
bojudo,-1.0
bolachudo,-1.0
bolchevique,0.0
bolchevista,0.0
bolorento,-1.0
bom-samaritano,1.0
bom,1.0
bombardear,1.0
bombeado,-1.0
bonacheirão,0.0
bonacheiro,0.0
bonapartista,0.0
bondade,1.0
bondoso,1.0
boniteza,1.0
bonito,1.0
borbulhento,-1.0
borguista,-1.0
borrachudo,-1.0
borrado,-1.0
borralheiro,0.0
boto,-1.0
botocudo,-1.0
brabo,0.0
braçal,0.0
braceiro,1.0
brando,0.0
bravateador,-1.0
bravo,0.0
bravura,1.0
brega,-1.0
brejeirice,-1.0
brejeiro,-1.0
brejeirote,-1.0
briga,-1.0
brigador,-1.0
brigante,-1.0
brigão,-1.0
briguento,-1.0
brilhante,1.0
brilhar,1.0
brilharete,-1.0
brilho,1.0
brincalhão,0.0
brincar,-1.0
brio,1.0
briosidade,1.0
brioso,1.0
broeiro,0.0
bronco,-1.0
bronquice,-1.0
bronzeado,0.0
brônzeo,0.0
brotado,0.0
brunido,0.0
bruno,-1.0
brusco,-1.0
brutal,-1.0
brutalidade,-1.0
brutidão,-1.0
bruto,-1.0
bruxaria,-1.0
bucha,-1.0
bucólico,0.0
budista,0.0
bufismo,-1.0
bufo,-1.0
bulhão,-1.0
bulhento,-1.0
bulício,-1.0
buliçoso,-1.0
burguês,-1.0
burla,-1.0
burlado,-1.0
burlador,-1.0
burlão,-1.0
burlesco,-1.0
burlista,-1.0
burocrático,0.0
burrice,-1.0
burro,-1.0
cabazada,-1.0
cabeçudo,-1.0
cabeludo,0.0
cabisbaixo,-1.0
caboclo,-1.0
cabotino,-1.0
cabralino,0.0
cabrão,-1.0
cábula,-1.0
caçado,-1.0
cacete,-1.0
caceteiro,-1.0
cachaceiro,-1.0
cadastrado,-1.0
cadavérico,-1.0
cadaveroso,-1.0
cadente,-1.0
caduco,-1.0
cafona,-1.0
cafuzo,0.0
cagão,-1.0
cagar-se,-1.0
cagarola,-1.0
cagativo,-1.0
caguinchas,-1.0
caído,-1.0
caipira,-1.0
cair,-1.0
calaceiro,-1.0
calado,0.0
calão,-1.0
calar-se,-1.0
calar,1.0
calcado,-1.0
calculismo,-1.0
calculista,-1.0
calejado,0.0
calhandreiro,-1.0
calhandrice,-1.0
calhorda,-1.0
cálido,0.0
calino,-1.0
calipígio,1.0
calma,1.0
calmante,1.0
calmo,1.0
caloroso,1.0
caloteirismo,-1.0
caloteiro,-1.0
calotismo,-1.0
calúnia,-1.0
caluniado,-1.0
caluniador,-1.0
caluniar,-1.0
cambada,-1.0
cambaleante,-1.0
cambalear,-1.0
camelo,-1.0
camoniano,0.0
campónio,-1.0
canalha,-1.0
canalhice,-1.0
canceroso,-1.0
cancro,-1.0
cândido,0.0
candongueiro,-1.0
candonguice,-1.0
cangalheiro,-1.0
canhestro,-1.0
canibal,-1.0
canino,-1.0
canonizado,0.0
cansado,-1.0
cansativo,-1.0
caótico,-1.0
capacitado,1.0
capaz,1.0
capcioso,-1.0
capenga,-1.0
capitoso,-1.0
capricho,-1.0
caprichoso,-1.0
caquéctico,-1.0
caquético,-1.0
caquexia,-1.0
caralho,-1.0
caramuleiro,0.0
carapaça,-1.0
caraterístico,0.0
carbonizado,-1.0
carcomido,-1.0
carecer,-1.0
carecido,-1.0
careiro,-1.0
carência,-1.0
carenciado,-1.0
carente,-1.0
caricato,-1.0
caricioso,1.0
caridoso,1.0
carinho,1.0
carinhoso,1.0
carisma,1.0
carismático,1.0
caritativo,1.0
carnal,0.0
carnavalesco,-1.0
carniceiro,-1.0
carola,1.0
carrancudo,-1.0
casadeiro,0.0
casamenteiro,0.0
caseiro,0.0
casmurrice,-1.0
casmurro,-1.0
casquilho,-1.0
castiço,1.0
castigado,-1.0
castigador,-1.0
castigar,1.0
casto,1.0
castração,-1.0
castrador,-1.0
castrar,1.0
catalepsia,-1.0
catano,-1.0
cataplexia,-1.0
catarro,-1.0
catastrófico,-1.0
catatonia,-1.0
categórico,1.0
catinguento,-1.0
catita,0.0
cativante,1.0
cativar,1.0
cativo,-1.0
católico,0.0
caturra,-1.0
caturrice,-1.0
caudaloso,0.0
causador,-1.0
causticação,-1.0
causticante,-1.0
causticidade,-1.0
cáustico,-1.0
cauteloso,1.0
cauto,1.0
cavalheiresco,1.0
cavalheirismo,1.0
cavalheiro,1.0
cavaqueador,0.0
cavaquista,0.0
cavernícola,-1.0
cavernoso,-1.0
caviloso,-1.0
ceder,-1.0
cego,-1.0
cegueira,-1.0
cegueta,-1.0
celebrado,0.0
célebre,1.0
celerado,-1.0
celestial,1.0
censurado,-1.0
censurador,0.0
censurar,0.0
centralizador,0.0
cepo,-1.0
céptico,0.0
cercado,-1.0
cerebral,0.0
cerebrino,0.0
cerimonial,0.0
cerimonioso,0.0
cerrado,0.0
certeiro,1.0
certificado,1.0
certo,1.0
cético,0.0
chalaceiro,-1.0
chalado,-1.0
chamado,0.0
chamativo,1.0
chamuscado,-1.0
chanfrado,-1.0
chantagista,-1.0
charlatanice,-1.0
charlatão,-1.0
charme,1.0
charmoso,1.0
chateado,-1.0
chatear,0.0
chatice,-1.0
chato,-1.0
chauvinismo,-1.0
chauvinista,-1.0
chavão,-1.0
cheiroso,1.0
chibante,-1.0
chicaneiro,-1.0
chicoteador,-1.0
chifrudo,-1.0
chinesada,-1.0
chinesice,-1.0
chinfrim,-1.0
chinfrim,-1.0
chinfrineiro,-1.0
chique,1.0
chistoso,0.0
chocalheiro,-1.0
chocar,-1.0
chocarreiro,-1.0
chochice,-1.0
chocho,-1.0
choco,-1.0
choné,-1.0
choramingão,-1.0
choramingar,-1.0
choramingas,-1.0
chorão,-1.0
chorar,-1.0
choroso,-1.0
chulo,-1.0
chumbado,-1.0
chumbar,-1.0
chunga,-1.0
chupado,-1.0
chupador,-1.0
chupismo,-1.0
chupista,-1.0
ciceroniano,0.0
ciente,1.0
cigano,-1.0
cilindrado,-1.0
cilíndrico,-1.0
cinéfilo,0.0
cínico,-1.0
cinza,0.0
cinzento,0.0
cioso,-1.0
circuncidado,0.0
circunciso,0.0
circunspecto,1.0
circunstancial,0.0
circunstante,0.0
cisma,-1.0
cismado,-1.0
cismático,-1.0
cisterciense,0.0
citadino,0.0
ciúme,-1.0
ciumento,-1.0
cívico,1.0
civilista,0.0
civilizado,1.0
clamoroso,-1.0
clandestino,-1.0
clarificado,0.0
clarificador,1.0
clarista,0.0
clarividência,1.0
clarividente,1.0
claudicante,-1.0
claustrofobia,-1.0
clemência,1.0
clemente,1.0
cleptomania,-1.0
cleptomaníaco,-1.0
cleptómano,-1.0
coagido,-1.0
coagir,-1.0
coartado,-1.0
cobarde,-1.0
cobardia,-1.0
cobardola,-1.0
cobiça,-1.0
cobiçado,0.0
cobiçoso,-1.0
cocainomania,-1.0
cocainómano,-1.0
codificado,0.0
coercivo,-1.0
coerência,1.0
coerente,1.0
coeso,1.0
cogitabundo,-1.0
cogitação,-1.0
cogitativo,-1.0
cognominado,0.0
coio,-1.0
coitado,-1.0
colaboracionista,-1.0
colapso,-1.0
cólera,-1.0
colérico,-1.0
colocado,0.0
colonialista,0.0
coloquial,0.0
colossal,0.0
comandita,-1.0
combalido,-1.0
combalimento,-1.0
combatente,0.0
combativo,0.0
comédia,-1.0
comedido,1.0
comedor,-1.0
comezinho,0.0
comichento,-1.0
comichoso,-1.0
cómico,0.0
comilão,-1.0
comodismo,-1.0
comodista,-1.0
comovente,0.0
compactuar,-1.0
comparsa,-1.0
compassivo,1.0
compelido,-1.0
compelir,-1.0
compenetrado,0.0
